//ID,   Name,                   Jname,                  LV,     HP,     SP,     EXP,    JEXP,   Range1, ATK1,   ATK2,   DEF,    MDEF,   STR,    AGI,    VIT,    INT,    DEX,    LUK,    Range2, Range3, Scale,  Race,   Element,Mode,   Speed,  Adelay, Amotion,Dmotion,Drop1id,Drop1per,Drop2id,Drop2%, Drop3id,Drop3%, Drop4id,Drop4%, Drop5id,Drop5%, Drop6id,Drop6%, Drop7id,Drop7%, Drop8id,Drop8%, Item1,  Item2,  MEXP,   ExpPer, MVP1id, MVP1per,MVP2id, MVP2per,MVP3id, MVP3per,mutationcount,mutationstrength
1034,   GrassSnake,             GrassSnake,             140,    1000,   0,      0,      103,    1,      80,     120,    2,      10,     20,     40,     10,     10,     40,     50,     1,      1,      1,      0,      20,     133,    500,    1100,   672,    480,    716,    400,    716,    400,    712,    500,    676,    500,    660,    1600,   641,    500,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      40
1036,   Zombie,                 Zombie,                 110,    12000,  0,      0,      1393,   2,      275,    355,    20,     15,     30,     15,     30,     3,      60,     40,     1,      1,      1,      0,      29,     133,    480,    1872,   672,    900,    631,    1000,   777,    700,    778,    500,    779,    200,    780,    150,    1198,   500,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1042,   Spectre,                Spectre,                140,    6500,   0,      3978,   359,    3,      160,    220,    40,     0,      35,     70,     22,     15,     20,     70,     1,      1,      1,      0,      49,     137,    650,    1700,   800,    500,    773,    1000,   703,    150,    703,    120,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      20
1045,   Fallen,                 Fallen,                 120,    10000,  0,      7812,   1663,   2,      180,    430,    5,      20,     40,     3,      25,     5,      80,     45,     1,      1,      1,      0,      49,     133,    300,    1200,   672,    300,    775,    210,    775,    210,    776,    300,    631,    1000,   636,    3,      658,    2,      532,    35,     778,    500,    1198,   500,    0,      0,      0,      0,      0,      0,      0,      0,      4,      50
1062,   Terranite,              Terranite,              110,    6000,   0,      0,      889,    1,      200,    300,    20,     40,     60,     40,     40,     30,     60,     40,     1,      1,      1,      0,      29,     133,    400,    872,    672,    900,    4001,   600,    4004,   20,     4005,   20,     4007,   20,     763,    500,    640,    500,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1068,   Reaper,                 Reaper,                 140,    40000,  0,      0,      156,    7,      200,    350,    30,     80,     100,    120,    70,     120,    100,    75,     1,      50,     1,      1,      89,     165,    500,    1200,   800,    300,    777,    1000,   775,    500,    776,    100,    1221,   10,     0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1071,   IceElement,             IceElement,             100,    5000,   0,      0,      689,    3,      60,     200,    5,      20,     15,     25,     40,     15,     45,     30,     1,      1,      1,      0,      41,     135,    330,    740,    672,    400,    4026,   900,    537,    750,    568,    400,    543,    900,    544,    250,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      20
1072,   Yeti,                   Yeti,                   100,    8500,   0,      0,      726,    2,      100,    400,    60,     15,     60,     5,      45,     15,     60,     32,     1,      1,      1,      0,      61,     135,    220,    1200,   672,    900,    4023,   700,    4024,   300,    4025,   400,    4027,   142,    4021,   800,    4022,   700,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1075,   Stalker,                Stalker,                120,    20000,  0,      0,      4000,   2,      220,    500,    23,     30,     35,     15,     3,      50,     50,     50,     2,      2,      1,      1,      29,     175,    340,    1800,   672,    950,    775,    75,     775,    115,    776,    135,    631,    40,     778,    500,    1198,   500,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      4,      20
1085,   IceSkull,               IceSkull,               180,    7000,   0,      0,      757,    2,      75,     400,    40,     15,     30,     30,     20,     20,     25,     34,     1,      1,      1,      3,      21,     141,    600,    1600,   672,    480,    4026,   5000,   862,    800,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1096,   SoulSnake,              SoulSnake,              115,    850,    0,      0,      56,     1,      75,     90,     4,      6,      20,     11,     10,     10,     35,     10,     1,      1,      1,      0,      20,     137,    900,    1300,   672,    480,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1102,   Luvia,                  Luvia,                  127,    48044,  60,     0,      12172,  5,      339,    364,    50,     92,     1,      29,     55,     255,    255,    255,    31,     30,     1,      0,      69,     181,    220,    1200,   672,    50,     0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1106,   WickedMushroom,         WickedMushroom,         110,    550,    0,      0,      30,     1,      70,     80,     4,      4,      16,     12,     10,     10,     35,     10,     1,      1,      1,      3,      22,     133,    800,    1800,   672,    480,    613,    600,    4007,   50,     567,    100,    566,    1000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      60
1114,   Nutcracker,             Nutcracker,             110,    6000,   0,      0,      769,    1,      81,     281,    20,     42,     40,     20,     10,     5,      60,     40,     1,      1,      1,      0,      29,     133,    400,    872,    672,    900,    569,    1000,   660,    750,    539,    750,    503,    250,    640,    200,    4004,   200,    4001,   600,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1119,   Thug,                   Thug,                   180,    5000,   0,      0,      999,    1,      125,    250,    30,     6,      0,      10,     50,     0,      40,     60,     1,      10,     1,      0,      2,      175,    500,    1200,   672,    480,    539,    1000,   657,    1000,   701,    500,    703,    250,    700,    250,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      40
1120,   Swashbuckler,           Swashbuckler,           180,    5000,   0,      0,      999,    1,      75,     250,    23,     27,     10,     20,     30,     20,     80,     60,     1,      10,     1,      0,      2,      175,    400,    800,    672,    480,    539,    1000,   657,    1000,   701,    500,    703,    250,    700,    250,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      40
1121,   Grenadier,              Grenadier,              180,    6000,   0,      0,      999,    6,      100,    200,    8,      60,     2,      10,     40,     50,     80,     60,     1,      10,     1,      0,      5,      175,    500,    2000,   672,    480,    539,    1000,   657,    1000,   701,    500,    704,    250,    700,    250,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      40
1122,   DreadPirateMarley,      DreadPirateMarley,      180,    10000,  0,      0,      20000,  4,      175,    250,    38,     32,     10,     20,     40,     20,     90,     80,     1,      30,     1,      0,      2,      175,    400,    700,    672,    480,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1123,   DreadPirateMarleyClone, DreadPirateMarleyClone, 150,    2000,   0,      0,      0,      4,      175,    250,    18,     22,     10,     40,     30,     20,     80,     40,     1,      30,     1,      0,      2,      175,    500,    1200,   672,    480,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1126,   PsiBrain,               PsiBrain,               100,    10000,  0,      0,      4000,   2,      220,    500,    23,     30,     35,     15,     3,      50,     50,     50,     2,      2,      1,      1,      29,     175,    340,    1800,   672,    950,    775,    75,     775,    115,    776,    135,    631,    40,     5111,   700,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      4,      20
1127,   GeneralKrukan,          GeneralKrukan,          140,    40000,  0,      0,      1663,   2,      180,    430,    5,      20,     40,     3,      25,     5,      80,     45,     1,      1,      1,      0,      49,     133,    300,    1200,   672,    300,    775,    1000,   776,    1000,   631,    1000,   5128,   2,      636,    6,      637,    25,     638,    50,     639,    8,      778,    500,    1198,   500,    0,      0,      0,      0,      0,      0,      6,      50
1128,   GeneralRazha,           GeneralRazha,           140,    40000,  0,      0,      1663,   2,      180,    430,    5,      20,     40,     3,      25,     5,      80,     45,     1,      1,      1,      0,      49,     133,    300,    1200,   672,    300,    775,    210,    775,    210,    776,    300,    631,    1000,   636,    3,      658,    2,      532,    35,     778,    500,    1198,   500,    0,      0,      0,      0,      0,      0,      0,      0,      4,      50
1129,   GeneralTerogan,         GeneralTerogan,         140,    40000,  0,      0,      1663,   2,      180,    430,    5,      20,     40,     3,      25,     5,      80,     45,     1,      1,      1,      0,      49,     133,    300,    1200,   672,    300,    775,    210,    775,    210,    776,    300,    631,    1000,   636,    3,      658,    2,      532,    35,     778,    500,    1198,   500,    0,      0,      0,      0,      0,      0,      0,      0,      4,      50
1130,   Moonshroom,             Moonshroom,             110,    550,    0,      0,      35,     4,      70,     80,     4,      4,      16,     12,     10,     10,     35,     10,     1,      1,      1,      3,      22,     133,    800,    1800,   672,    480,    566,    500,    518,    500,    730,    300,    540,    100,    703,    100,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      60
1132,   LavaSlime,              LavaSlime,              135,    4144,   0,      6000,   1111,   2,      105,    260,    75,     80,     30,     15,     35,     10,     70,     250,    1,      1,      1,      0,      43,     135,    900,    1300,   672,    100,    904,    10000,  703,    2500,   640,    1000,   701,    1000,   4001,   1000,   825,    500,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      3,      40
1048, Duck, Duck, 55, 160, 0, 0, 0, 1, 15, 125, 1, 6, 1, 3, 1, 0, 15, 40, 1, 1, 1, 2, 20, 129, 400, 800, 672, 480, 526, 100, 541, 200, 562, 300, 657, 400, 684, 500, 1189, 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
1134, Dragon, Dragon, 20, 20000, 0, 0, 0, 4, 150, 260, 40, 60, 10, 30, 55, 0, 160, 150, 1, 1, 1, 9, 67, 175, 600, 800, 672, 480, 8077, 40, 8034, 40, 3336, 40, 3333, 40, 8043, 40, 701, 200, 776, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
1135,   SnowFlake,              SnowFlake,              30,     150,        0,      0,          0,      1,      14,     0,      1,      0,      0,      0,      0,      0,      0,      0,      1,      1,      1,      3,      22,     129,    800,    800,    672,    480,    4026,    300,       0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      60
1136, TreasureBox, TreasureBox, 120, 30000, 0, 0, 0, 5, 200, 350, 40, 0, 0, 0, 0, 0, 30, 50, 1, 1, 1, 3, 22, 128, 800, 800, 672, 480, 8016, 4, 3307, 4, 3308, 4, 3309, 4, 3311, 4, 3312, 4, 3313, 4, 3314, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
1137, BlackSlime, BlackSlime, 40, 800, 0, 0, 0, 1, 90, 130, 20, 30, 20, 30, 10, 10, 30, 30, 1, 1, 1, 0, 21, 175, 1200, 1872, 672, 480, 650, 30, 653, 200, 2056, 100, 3315, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
1138, FafiDragon, FafiDragon, 150, 15000, 0, 0, 0, 6, 250, 300, 50, 35, 50, 10, 50, 0, 100, 40, 1, 1, 1, 9, 43, 175, 600, 800, 672, 480, 3336, 30, 3446, 30, 3328, 30, 8021, 30, 8005, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
1139, BlackMamba, BlackMamba, 160, 2000, 0, 0, 250, 1, 100, 150, 5, 15, 25, 50, 15, 15, 45, 55, 1, 1, 1, 0, 20, 133, 280, 1100, 672, 480, 8076, 400, 8076, 400, 8075, 500, 8074, 500, 8052, 30, 8049, 30, 8053, 40, 8051, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 40
1140, RedDragon, RedDragon, 170, 18000, 0, 0, 0, 5, 400, 500, 50, 50, 55, 30, 55, 0, 160, 30, 1, 1, 1, 9, 63, 175, 600, 800, 672, 480, 8035, 40, 549, 40, 8050, 40, 760, 40, 8049, 40, 3328, 40, 8029, 40, 8044, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
1226, DarkDragon, DarkDragon, 190, 58000, 0, 0, 0, 5, 500, 600, 60, 70, 65, 70, 65, 50, 160, 60, 1, 1, 1, 9, 63, 175, 600, 800, 672, 480, 8035, 40, 549, 40, 8050, 40, 760, 40, 8049, 40, 3328, 40, 8029, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 50
1141, SmokeDragon, SmokeDragon, 20, 20000, 0, 0, 0, 6, 50, 60, 40, 60, 10, 30, 55, 0, 160, 150, 1, 1, 1, 9, 67, 175, 600, 800, 672, 480, 3096, 40, 3221, 40, 3263, 40, 4057, 40, 8062, 40, 8063, 40, 8061, 40, 1141, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
1142,   ChocolateSlime,         ChocolateSlime,         50,     600,        0,      0,          0,     1,      50,     100,    20,     30,     20,     90,     10,     10,     30,     30,     1,      1,      1,      0,      21,     139,    1200,   1872,   672,    480,    509,     5000,      509,    4000,   509,    1000,   661,    500,    664,    500,    665,    500,    667,    500,        663,    250,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1143,   GenerousSpiky,   GenerousSpiky,   30,   300,   0,   0,   0,   1,   10,   13,   0,   5,   1,   1,   1,   0,   10,   10,   1,   1,   1,   3,   20,   129,   800,   1872,   672,   480,   567,   8000,      501,   2500,      518,   500,      613,   1500,      568,   8000,      0,   0,      0,   0,      0,   0,      0,   0,   0,   0,    0,    0,    0,    0,    0,    0,   3,      40

1144, Assassin, Assassin, 110, 25000, 0, 0, 0, 3, 275, 355, 20, 15, 30, 85, 40, 30, 70, 50, 1, 1, 1, 7, 29, 133, 180, 872, 672, 900, 757, 30, 8163, 40, 8162, 40, 8161, 40, 685, 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30

1145, TerraniteMask, TerraniteMask, 140, 2000, 0, 0, 0, 2, 75, 175, 35, 15, 30, 30, 20, 20, 25, 60, 1, 1, 1, 3, 23, 175, 600, 1600, 672, 480, 621, 30, 540, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0,  0,  0,  0,  0,  0, 2, 30
1146,   FireSkullLord,   FireSkullLord,   180,   8000,   0,   0,   0,   2,   95,   185,   40,   55,   30,   40,   20,   20,   25,   60,   1,   1,   1,   3,   23,   175,   600,   1600,   672,   480,   631,   500,      701,   800,      0,   0,      0,   0,      0,   0,      0,   0,      0,   0,      0,   0,      0,   0,   0,   0,    0,    0,    0,    0,    0,    0,   2,      30
1147, SnakeLord, SnakeLord, 300, 40000, 0, 0, 0, 2, 80, 120, 10, 10, 20, 40, 10, 10, 40, 10, 1, 1, 1, 2, 20, 132, 200, 1500, 672, 480, 646, 40, 761, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1148,   IceSnake,   IceSnake,   140,   1000,   0,   0,   0,   1,   80,   120,   2,   10,   20,   40,   10,   10,   40,   50,   1,   1,   1,   3,   20,   133,   500,   1100,   672,   480,   4026,   400,      4026,   400,      4026,   500,      4026,   500,      4026,   350,      4026,   500,      0,   0,      0,   0,      0,   0,   0,   0,    0,    0,    0,    0,    0,    0,   1,      40
1149,   IceScorpion,   IceScorpion,   100,   600,   0,   0,   0,   1,   60,   100,   4,   6,   16,   30,   10,   10,   35,   10,   1,   1,   1,   3,   20,   133,   1000,   1500,   672,   480,   528,   850,      529,   100,      518,   800,      4026,   800,      727,   500,      0,   0,      0,   0,      0,   0,      0,   0,   0,   0,    0,    0,    0,    0,    0,    0,   2,      50
1150,   EvilPinkie,   EvilPinkie,   110,   650,   0,   0,   0,   1,   65,   80,   4,   6,   16,   12,   10,   10,   35,   10,   1,   1,   1,   3,   22,   137,   800,   1800,   672,   480,   657,   500,      535,   40,      534,   100,      535,   500,      640,   100,      0,   0,      0,   0,      0,   0,      0,   0,   0,   0,    0,    0,    0,    0,    0,    0,   1,      60
1151,   IronFlower,      IronFlower,      120,   2700,   0,   0,   0,   3,   210,   230,   10,   5,   16,   12,   20,   20,   20,   50,   2,   20,   1,   3,   22,   128,   800,   800,   672,   480,   534,   100,      540,   10,      505,   100,      567,   2500,      640,   500,      640,   800,      640,   800,      568,   2500,      0,   0,   0,   0,    0,    0,    0,    0,    0,    0,   2,      50
1152,   Ant,      Ant,      125,   800,   0,   0,   0,   1,   70,   85,   4,   6,   14,   13,   10,   10,   35,   10,   1,   1,   1,   0,   25,   175,   1000,   1500,   672,   480,   537,   500,      535,   100,      638,   20,      0,   0,      0,   0,      0,   0,      0,   0,      0,   0,      0,   0,   0,   0,    0,    0,    0,    0,    0,    0,   2,      40
1153,   ScorpionMom,   ScorpionMom,   250,   60000,   0,   0,   0,   1,   250,   650,   70,   75,   30,   60,   55,   10,   75,   65,   1,   1,   1,   3,   20,   129,   500,   1872,   672,   480,   706,   9900,      512,   100,      525,   50,      536,   700,      0,   0,      0,   0,      0,   0,      0,   0,      0,   0,   0,   0,    0,    0,    0,    0,    0,    0,   0,      0
1154,   FireSlime,   FireSlime,   70,   700,   0,   0,   0,   1,   60,   65,   2,   7,   12,   8,   10,   1,   40,   20,   1,   1,   1,   0,   21,   135,   500,   1500,   672,   480,   704,   500,      0,   0,      0,   0,      0,   0,      0,   0,      0,   0,      0,   0,      0,   0,      0,   0,   0,   0,    0,    0,    0,    0,    0,    0,   2,      20
1155,   Kage,      Kage,      100,   5000,   0,   0,   0,   2,   75,   80,   20,   15,   30,   85,   40,   30,   70,   50,   1,   1,   1,   0,   29,   131,   180,   872,   672,   900,   700,   500,      531,   1000,      704,   1000,      640,   100,      0,   0,      0,   0,      0,   0,      0,   0,      0,   0,   0,   0,    0,    0,    0,    0,    0,    0,   2,      30
1158, BlueFairy, BlueFairy, 140, 3500, 0, 0, 0, 1, 80, 120, 2, 10, 70, 40, 90, 10, 40, 50, 1, 1, 1, 2, 20, 131, 500, 800, 672, 480, 526, 400, 701, 400, 730, 400, 804, 400, 8039, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
1159,   RedFairy,      RedFairy, 140, 3500, 0, 0, 0, 1, 80, 120, 2, 10, 70, 40, 90, 10, 40, 50, 1, 1, 1, 0, 20, 131, 500, 800, 672, 480, 526, 400, 701, 400, 730, 400, 804, 400, 8038, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0,  0,  0,  0,  0,  0, 1, 40
1160,   SantaSkeleton,   SantaSkeleton,   90,   6800,   0,   0,   0,   1,   51,   284,   12,   10,   35,   18,   3,   8,   71,   65,   1,   1,   1,   0,   29,   175,   340,   1800,   672,   950,   538,   1000,      1213,   1000,      555,   1000,      1206,   100,      0,   0,      0,   0,      0,   0,      0,   0,      0,   0,   0,   0,    0,    0,    0,    0,    0,    0,   1,      40
1161,   WhiteGolem,      WhiteGolem,      200, 3200, 0, 0, 0, 2, 90, 175, 65, 5, 15, 5, 15, 0, 40, 10, 2, 2, 1, 1, 20, 129, 600, 1872, 672, 480, 660, 200, 826, 500, 541, 75, 704, 500, 1229, 100, 1230, 100, 1232, 100, 3426, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
1162,   GoldenGolem,      GoldenGolem,      220, 3200, 0, 0, 0, 2, 90, 175, 65, 5, 15, 5, 15, 0, 40, 10, 2, 2, 1, 1, 20, 129, 600, 1872, 672, 480, 660, 200, 826, 500, 541, 75, 704, 500, 1229, 100, 1230, 100, 1232, 100, 759, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
1163, DarkGolem, DarkGolem, 240, 3200, 0, 0, 0, 2, 90, 175, 65, 5, 15, 5, 15, 0, 40, 10, 2, 2, 1, 1, 20, 129, 600, 1872, 672, 480, 660, 200, 826, 500, 541, 75, 704, 500, 1229, 100, 1230, 100, 1232, 100, 3499, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
1164,   RedGolem,      RedGolem,      210, 3200, 0, 0, 0, 2, 90, 175, 65, 5, 15, 5, 15, 0, 40, 10, 2, 2, 1, 1, 20, 129, 600, 1872, 672, 480, 660, 200, 826, 500, 541, 75, 704, 500, 1229, 100, 1230, 100, 1232, 100, 3430, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
1165,   WhiteGhost,      WhiteGhost,      140,   2200,   0,   0,   0,   2,   30,   75,   65,   5,   15,   5,   15,   0,   40,   10,   2,   2,   1,   1,   20,   129,   600,   1872,   672,   480,   586,   300,      1202,   500,      787,   300,      826,   300,      4034,   100,      3093,   3,      0,   0,      0,   0,      0,   0,   0,   0,    0,    0,    0,    0,    0,    0,   1,      30
1166,   CobaltGhost,      CobaltGhost,      140,   2200,   0,   0,   0,   2,   30,   75,   65,   5,   15,   5,   15,   0,   40,   10,   2,   2,   1,   1,   20,   129,   600,   1872,   672,   480,   586,   300,      1202,   500,      681,   3000,      681,   3000,      681,   3000,      3266,   3,      0,   0,      0,   0,      0,   0,   0,   0,    0,    0,    0,    0,    0,    0,   1,      30
1167,   MauveGhost,      MauveGhost,      140,   2200,   0,   0,   0,   2,   30,   75,   65,   5,   15,   5,   15,   0,   40,   10,   2,   2,   1,   1,   20,   129,   600,   1872,   672,   480,   586,   300,      1202,   500,      680,   3000,      680,   3000,      680,   3000,      3306,   3,      0,   0,      0,   0,      0,   0,   0,   0,    0,    0,    0,    0,    0,    0,   1,      30
1168,   AlizarinGhost,      AlizarinGhost,      140,   2200,   0,   0,   0,   2,   30,   75,   65,   5,   15,   5,   15,   0,   40,   10,   2,   2,   1,   1,   20,   129,   600,   1872,   672,   480,   586,   300,      1202,   500,      683,   3000,      683,   3000,      683,   3000,      3320,   3,      0,   0,      0,   0,      0,   0,   0,   0,    0,    0,    0,    0,    0,    0,   1,      30
1169,   GambogeGhost,      GambogeGhost,      140,   2200,   0,   0,   0,   2,   30,   75,   65,   5,   15,   5,   15,   0,   40,   10,   2,   2,   1,   1,   20,   129,   600,   1872,   672,   480,   586,   300,      1202,   500,      682,   3000,      682,   3000,      682,   3000,      3318,   3,      0,   0,      0,   0,      0,   0,   0,   0,    0,    0,    0,    0,    0,    0,   1,      30
1170,   WhiteScorpion,   WhiteScorpion,   10,   100,   0,   0,   0,   1,   10,   15,   0,   5,   1,   1,   1,   0,   15,   5,   1,   1,   1,   2,   20,   129,   2000,   1872,   672,   480,   507,   700,      510,   100,      509,   50,      518,   700,      0,   0,      0,   0,      0,   0,      0,   0,      0,   0,   0,   0,    0,    0,    0,    0,    0,    0,   0,      0
